 Ta Density=16.65
 Energy(eV), Delta, Beta
  30.  0.102954485  0.114627384
  32.1455765 -0.00703748083  0.101317324
  34.4446106 -0.0581893846  0.19867669
  36.908062 -0.0416731834  0.246078789
  39.5477028  0.0123671945  0.281805575
  42.3761292  0.0052006417  0.25659892
  45.4068375  0.0270671342  0.283042967
  48.6543007  0.112713978  0.296799928
  52.1340256  0.160614535  0.222869039
  55.8626137  0.15745309  0.160994843
  59.8578682  0.1455217  0.117090173
  64.1388626  0.124315791  0.0844217539
  68.7260284  0.102776006  0.0639003217
  73.6412659  0.0840289891  0.0505552404
  78.9080353  0.0678455755  0.0427469648
  84.5514908  0.0548464544  0.038007699
  90.5985489  0.0450331569  0.0348126553
  97.0780945  0.0371797197  0.0324799269
  104.021049  0.0304633677  0.0311467666
  111.460571  0.0258532837  0.0304205623
  119.432152  0.0226134919  0.0296064485
  127.973854  0.0206371024  0.028696496
  137.12645  0.0190115385  0.0267817359
  146.93364  0.017379934  0.0249940548
  157.44223  0.0159931872  0.0233981162
  168.702393  0.0150126964  0.0216194671
  180.767868  0.0138801578  0.0198977459
  193.696259  0.012926925  0.0183118694
  207.549271  0.0121141532  0.0167671405
  222.393066  0.0111896936  0.0151772788
  238.298462  0.0101337349  0.0141477399
  255.3414  0.00978551805  0.0131684942
  273.603241  0.00944942329  0.0119100837
  293.171143  0.00899911579  0.0107068066
  314.13855  0.00861463789  0.00947069004
  336.60553  0.00804298278  0.00828623865
  360.679321  0.00742677925  0.00726448139
  386.474854  0.00679547386  0.00642692065
  414.115234  0.00641736342  0.00584829831
  443.732513  0.00601722579  0.00499759754
  475.467926  0.00552429166  0.00427533267
  509.473053  0.00505550951  0.00368804438
  545.910217  0.00463291723  0.0031483653
  584.953369  0.00421461789  0.0026974224
  626.788818  0.00383605785  0.00225878321
  671.616333  0.00345463189  0.00187979138
  719.64978  0.00309750158  0.00157226832
  771.118713  0.00276476587  0.00130156451
  826.268555  0.00245592301  0.00107396231
  885.362732  0.00217273389  0.00088412402
  948.683228  0.001915653  0.000725334743
  1016.53247  0.00168106146  0.000591847405
  1089.23413  0.00146775122  0.000480607036
  1167.13525  0.00127377873  0.000389893044
  1250.60803  0.00109872408  0.000316095102
  1340.05066  0.000939229853  0.000254852173
  1435.89014  0.000790898688  0.00020530136
  1538.58398  0.00064753386  0.000165148871
  1648.62244  0.000487373385  0.000132665649
  1766.53088  0.00024530376  0.000316797232
  1892.87195  0.000431386317  0.000391298847
  2028.24878  0.000446510996  0.000308399816
  2173.30762  0.00039943037  0.00024300575
  2328.74097  0.000393883034  0.000222059447
  2495.29102  0.000357454526  0.000185450015
  2673.75244  0.000327902002  0.000145406491
  2864.97754  0.000297332823  0.000119802105
  3069.87866  0.000266219664  9.48775269E-05
  3289.43433  0.000236344698  7.49714818E-05
  3524.69238  0.000208663943  5.91395292E-05
  3776.77588  0.000183486103  4.6580546E-05
  4046.88818  0.000160853539  3.66457207E-05
  4336.31885  0.000140679054  2.87994826E-05
  4646.44971  0.000122802681  2.26122756E-05
  4978.76025  0.000107033338  1.77398979E-05
  5334.83789  9.31688337E-05  1.39072772E-05
  5716.38135  8.10095808E-05  1.08958093E-05
  6125.21289  7.036444E-05  8.5316351E-06
  6563.28418  6.10550342E-05  6.67733684E-06
  7032.68555  5.29164099E-05  5.22381879E-06
  7535.6582  4.57956558E-05  4.08507276E-06
  8074.60352  3.95473508E-05  3.19358583E-06
  8652.09277  3.40185725E-05  2.49582195E-06
  9270.88574  2.89739892E-05  1.94994982E-06
  9933.93262  2.27626915E-05  3.9966003E-06
  10644.4004  2.19857229E-05  3.06525089E-06
  11405.6807  1.9317582E-05  3.30250327E-06
  12221.4062  1.75034911E-05  2.90196044E-06
  13095.4736  1.56001443E-05  2.28760837E-06
  14032.0527  1.37754059E-05  1.79747883E-06
  15035.6152  1.21078701E-05  1.40843667E-06
  16110.9521  1.06111347E-05  1.10094345E-06
  17263.1973  9.28065219E-06  8.58788042E-07
  18497.8477  8.10511756E-06  6.68685971E-07
  19820.8008  7.07079926E-06  5.19856883E-07
  21238.3711  6.16343596E-06  4.03609278E-07
  22757.3242  5.36919697E-06  3.12996946E-07
  24384.9121  4.67511654E-06  2.42492717E-07
  26128.9023  4.06932395E-06  1.87720829E-07
  27997.625  3.54108943E-06  1.45227546E-07
  29999.9961  3.08080848E-06  1.12298473E-07
